CD,ST,District,State,Incumbent,Party,Clinton,Trump,Obama12,Romney,Obama08,McCain,GEOID,bvap,cvap,bvap_pct,black_pop,total_pop,black_pct,is_in_cbc
AZ-03,AZ,03,Arizona,"Grijalva, Raul",(D),62.4,32.5,61.4,36.9,58.2,40.7,50000US0403,22385,448730,0.049885232,31970,739670,0.043221977,FALSE
AZ-04,AZ,04,Arizona,"Gosar, Paul",(R),27.5,67.7,31.0,67.2,34.4,64.2,50000US0404,9330,555930,0.016782688,12750,738650,0.01726122,FALSE
AZ-05,AZ,05,Arizona,"Biggs, Andy",(R),36.5,57.6,34.6,63.8,36.3,62.6,50000US0405,15165,528135,0.028714249,21665,765405,0.028305276,FALSE
AZ-06,AZ,06,Arizona,"Schweikert, David",(R),42.4,52.4,38.8,59.5,41.2,57.7,50000US0406,13815,545870,0.025308224,19175,752460,0.025483082,FALSE
AZ-07,AZ,07,Arizona,"Gallego, Ruben",(D),71.8,22.6,71.7,26.5,64.7,34.1,50000US0407,46965,388040,0.121031337,71220,767495,0.092795393,FALSE
AZ-08,AZ,08,Arizona,"Lesko, Debbie",(R),37.0,58.1,36.9,61.7,38.4,60.6,50000US0408,23150,551615,0.041967677,32135,753310,0.042658401,FALSE
AZ-09,AZ,09,Arizona,"Sinema, Kyrsten",(D),54.7,38.4,51.1,46.6,51.3,47.4,50000US0409,28025,529465,0.052930789,39140,754810,0.051854109,FALSE
AR-01,AR,01,Arkansas,"Crawford, Rick",(R),30.2,65.0,36.3,61.0,39.2,58.0,50000US0501,92245,547025,0.168630319,130145,724990,0.179512821,FALSE
AR-02,AR,02,Arkansas,"Hill, French",(R),41.7,52.4,42.9,54.7,44.3,53.8,50000US0502,118405,559250,0.211721055,166645,754820,0.220774489,FALSE
AR-03,AR,03,Arkansas,"Womack, Steve",(R),30.5,61.9,31.6,65.5,33.9,63.7,50000US0503,15280,532875,0.028674642,21770,772675,0.028174847,FALSE
AR-04,AR,04,Arkansas,"Westerman, Bruce",(R),31.3,64.2,35.9,61.8,37.4,59.9,50000US0504,102430,536190,0.191033029,140315,715985,0.195974776,FALSE
CA-01,CA,01,California,"LaMalfa, Doug",(R),36.5,56.2,40.3,56.6,42,53,50000US0601,8210,542180,0.015142573,9850,703985,0.013991775,FALSE
CA-02,CA,02,California,"Huffman, Jared",(D),69.0,23.3,69.0,27.0,71,25,50000US0602,8120,520500,0.015600384,10090,713615,0.014139277,FALSE
CA-03,CA,03,California,"Garamendi, John",(D),53.0,40.4,54.3,43.1,55,42,50000US0603,33005,482835,0.068356685,41990,722895,0.058085891,FALSE
CA-04,CA,04,California,"McClintock, Tom",(R),39.3,54.0,39.5,57.9,43,54,50000US0604,7090,539630,0.013138632,8880,718700,0.012355642,FALSE
CA-05,CA,05,California,"Thompson, Mike",(D),69.2,24.3,69.7,27.5,70,26,50000US0605,33250,502210,0.066207363,44175,724965,0.060933976,FALSE
CA-06,CA,06,California,"Matsui, Doris",(D),69.2,24.4,69.1,28.3,68,29,50000US0606,65145,479665,0.135813537,88705,734450,0.120777453,FALSE
CA-07,CA,07,California,"Bera, Ami",(D),52.3,40.9,50.8,46.8,51,46,50000US0607,39005,512085,0.076168995,53655,732955,0.073203676,FALSE
CA-08,CA,08,California,"Cook, Paul",(R),39.6,54.7,41.7,55.6,42,55,50000US0608,37850,472380,0.08012617,55665,716170,0.077725959,FALSE
CA-09,CA,09,California,"McNerney, Jerry",(D),56.6,38.0,57.8,40.1,56,41,50000US0609,44075,454070,0.097066532,62820,739025,0.08500389,FALSE
CA-10,CA,10,California,"Denham, Jeff",(R),48.5,45.5,50.6,47.0,50,47,50000US0610,16030,455035,0.035228059,21745,729020,0.029827714,FALSE
CA-11,CA,11,California,"DeSaulnier, Mark",(D),71.5,22.7,67.6,30.0,69,28,50000US0611,46050,484800,0.094987624,60940,739385,0.082419849,FALSE
CA-12,CA,12,California,"Pelosi, Nancy",(D),86.2,8.7,84.1,12.5,84,13,50000US0612,31235,550100,0.056780585,39175,740335,0.052915234,FALSE
CA-13,CA,13,California,"Lee, Barbara",(D),87.4,6.8,87.5,9.0,87,10,50000US0613,99960,504590,0.198101429,128810,740685,0.173906586,TRUE
CA-14,CA,14,California,"Speier, Jackie",(D),76.9,18.2,74.2,23.6,73,24,50000US0614,17660,485145,0.036401488,21915,741330,0.029561734,FALSE
CA-15,CA,15,California,"Swalwell, Eric",(D),69.9,24.2,68.0,29.8,67,30,50000US0615,32575,467980,0.069607676,44260,751440,0.058900245,FALSE
CA-16,CA,16,California,"Costa, Jim",(D),58.0,36.4,58.6,39.4,57,40,50000US0616,29645,389255,0.076158302,40650,721110,0.056371427,FALSE
CA-17,CA,17,California,"Khanna, Ro",(D),73.9,20.5,71.9,25.5,69,28,50000US0617,13505,429325,0.031456356,18475,748800,0.02467281,FALSE
CA-18,CA,18,California,"Eshoo, Anna",(D),73.4,20.2,68.2,28.9,70,27,50000US0618,9515,474180,0.02006622,13410,730780,0.018350256,FALSE
CA-19,CA,19,California,"Lofgren, Zoe",(D),72.9,21.5,71.2,26.5,68,29,50000US0619,15730,459045,0.034266793,21245,748955,0.02836619,FALSE
CA-20,CA,20,California,"Panetta, Jimmy",(D),70.4,23.2,70.9,26.2,71,26,50000US0620,11140,424375,0.026250368,13330,729525,0.018272163,FALSE
CA-21,CA,21,California,"Valadao, David",(R),55.2,39.7,54.6,43.5,52,46,50000US0621,21390,342085,0.062528319,27800,711465,0.039074304,FALSE
CA-22,CA,22,California,"Nunes, Devin",(R),42.6,52.1,41.6,56.6,42,55,50000US0622,14680,458360,0.032027228,20925,739450,0.028298059,FALSE
CA-23,CA,23,California,"McCarthy, Kevin",(R),36.1,58.1,36.1,61.5,36,61,50000US0623,31440,478295,0.065733491,44855,730050,0.061440997,FALSE
CA-24,CA,24,California,"Carbajal, Salud",(D),56.7,36.5,54.1,43.1,56,41,50000US0624,10755,498910,0.021556994,12980,727935,0.017831262,FALSE
